name,artist,album,popularity,duration_ms,id
El Anciano y el Niño,Cheo Gallego,El Anciano y el Niño,63,198221,1sajOsIfI8ncxrb1I7Ak5D
Ay Vamos,J Balvin,La Familia B Sides,78,226413,6Ges5C2IE738iJh4HyQizQ
Bandoleros,Don Omar,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),73,305280,4BxzNZpcm1j3JczZzGNe2k
Ooh Ahh (My Life Be Like) [feat. Tobymac],Grits,The Art of Translation,73,233173,1KBN9lYx9QkfUJC3NSXlhQ
Act A Fool,Ludacris,2 Fast 2 Furious (Soundtrack),67,270733,28mv40MzspRZn0PBcO2itT
Valhalla Calling - Duet Version,Miracle Of Sound,Valhalla Calling (Duet Version),4,240759,6wW9ews4LjClYwvb9GSida
Your Love,The Outfield,Super Hits,79,221840,5dRQUolXAVX3BbCiIxmSsf
Like a Stone,Audioslave,Audioslave,85,293960,3YuaBvuZqcwN3CEAyyoaei
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],79,258773,5qqabIl2vWzo9ApSC317sa
Everlong,Foo Fighters,The Colour And The Shape,85,250546,5UWwZ5lm5PKu6eKsHAGxOk
It's My Life,Bon Jovi,Crush,83,224493,0v1XpBHnsbkCn7iJ9Ucr1l
Somebody Was Watching Over Me,Robert Plant,Raise The Roof (Deluxe Edition),26,303428,1TTXXmRgq2f0AkN99iw1f9
Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),16,301920,4CeeEOM32jQcH3eN9Q2dGj
Losing My Religion,R.E.M.,Out Of Time (U.S. Version),4,267733,31AOj9sFz2gM0O3hMARRBx
Seven Nation Army,The White Stripes,Elephant,9,231920,3dPQuX8Gs42Y7b454ybpMR
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,20,354520,7snQQk1zcKl8gZ92AnueZW
Sweet Dreams (Are Made Of This),Marilyn Manson,Smells Like Children,8,293293,2302lUwfZ4S4dVyPOCDFnQ
Every Breath You Take - Remastered 2003,The Police,Synchronicity (Remastered),6,253250,1JSTJqkT5qHq8MDJnJbRE1
Under Pressure,Queen,Bohemian Rhapsody (The Original Soundtrack),63,244484,6suU8oBlW4O2pg88tOXgHo
Zombie,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995),4,306440,7EZC6E7UjZe63f1jRmkWxt
The Reason,Hoobastank,The Reason,11,232800,5B5eTk7DF8KVp1zpQoY1XY
Fall to Pieces,Velvet Revolver,Contraband,62,271240,2amzrvbxYiq8AxGntIiw5V
Don't Stop Believin',Journey,Escape (Bonus Track Version),17,250986,5RKQ5NdjSh2QzD4MaunT91
Creep,Radiohead,Pablo Honey,15,238640,70LcF31zb1H0PyJoS1Sx1r
Tainted Love,Marilyn Manson,The Golden Age Of Grotesque,65,200426,0ZeKQudydO2uQJpfr6gNC8
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,80,217706,06KyNuuMOX1ROXRhj787tj
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)",71,208666,4rkUEE5iTzG0szS8k8QzqR
Candy Shop,50 Cent,The Massacre,82,209106,5D2mYZuzcgjpchVY1pmTPh
Call Me Maybe,Carly Rae Jepsen,Kiss,84,193400,20I6sIOMTCkB6w7ryavxtO
Spiders,System Of A Down,System Of A Down,72,215440,4vAHXnJ5YWLq5hbIVzZS1h
Hypnotize,System Of A Down,Hypnotize,72,189440,6oO7WMjD6kEvCITLbVj0mu
Aerials,System Of A Down,Toxicity,84,235053,4e9eGQYsOiBcftrWXwsVco
Forest,System Of A Down,Toxicity,65,240106,1B5Y9I5wPfvD3C2A81A36C
Du hast,Rammstein,Sehnsucht,70,234226,5awDvzxWfd53SSrsRZ8pXO
Feuer frei!,Rammstein,Mutter,71,188600,5aNH8inF5BsbThDeOLs7zs
Mein Herz brennt,Rammstein,Mutter,71,279893,5ArNGisLzrNOIVwWajRRdt
Wash It All Away,Five Finger Death Punch,Got Your Six,66,224906,5nRBTzF9dLIlNqnl0xWo9g
My Demons,STARSET,Transmissions (Deluxe Version),74,288036,3Xfg7AegXaDLoD5GOUMf2e
Outside,Staind,Break the Cycle,61,293133,5D6rk7Zr7FRy5m2fDte5fp
It's Been Awhile,Staind,Break the Cycle,72,264706,1BExV8JprNJLvLeDE9qdEW
Killpop,Slipknot,.5: The Gray Chapter (Special Edition),67,225066,6AAZigYqOch79lKcrSBOv0
