name,artist,album,popularity,duration_min,id
El Anciano y el Niño,Cheo Gallego,El Anciano y el Niño,63,3:18,1sajOsIfI8ncxrb1I7Ak5D
Ay Vamos,J Balvin,La Familia B Sides,78,3:46,6Ges5C2IE738iJh4HyQizQ
Bandoleros,Don Omar,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),73,5:05,4BxzNZpcm1j3JczZzGNe2k
Ooh Ahh (My Life Be Like) [feat. Tobymac],Grits,The Art of Translation,73,3:53,1KBN9lYx9QkfUJC3NSXlhQ
Act A Fool,Ludacris,2 Fast 2 Furious (Soundtrack),67,4:30,28mv40MzspRZn0PBcO2itT
Valhalla Calling - Duet Version,Miracle Of Sound,Valhalla Calling (Duet Version),4,4:00,6wW9ews4LjClYwvb9GSida
Your Love,The Outfield,Super Hits,79,3:41,5dRQUolXAVX3BbCiIxmSsf
Like a Stone,Audioslave,Audioslave,85,4:53,3YuaBvuZqcwN3CEAyyoaei
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],79,4:18,5qqabIl2vWzo9ApSC317sa
Everlong,Foo Fighters,The Colour And The Shape,85,4:10,5UWwZ5lm5PKu6eKsHAGxOk
It's My Life,Bon Jovi,Crush,83,3:44,0v1XpBHnsbkCn7iJ9Ucr1l
Somebody Was Watching Over Me,Robert Plant,Raise The Roof (Deluxe Edition),26,5:03,1TTXXmRgq2f0AkN99iw1f9
Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),16,5:01,4CeeEOM32jQcH3eN9Q2dGj
Losing My Religion,R.E.M.,Out Of Time (U.S. Version),4,4:27,31AOj9sFz2gM0O3hMARRBx
Seven Nation Army,The White Stripes,Elephant,9,3:51,3dPQuX8Gs42Y7b454ybpMR
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,20,5:54,7snQQk1zcKl8gZ92AnueZW
Sweet Dreams (Are Made Of This),Marilyn Manson,Smells Like Children,8,4:53,2302lUwfZ4S4dVyPOCDFnQ
Every Breath You Take - Remastered 2003,The Police,Synchronicity (Remastered),6,4:13,1JSTJqkT5qHq8MDJnJbRE1
Under Pressure,Queen,Bohemian Rhapsody (The Original Soundtrack),63,4:04,6suU8oBlW4O2pg88tOXgHo
Zombie,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995),4,5:06,7EZC6E7UjZe63f1jRmkWxt
The Reason,Hoobastank,The Reason,11,3:52,5B5eTk7DF8KVp1zpQoY1XY
Fall to Pieces,Velvet Revolver,Contraband,62,4:31,2amzrvbxYiq8AxGntIiw5V
Don't Stop Believin',Journey,Escape (Bonus Track Version),17,4:10,5RKQ5NdjSh2QzD4MaunT91
Creep,Radiohead,Pablo Honey,15,3:58,70LcF31zb1H0PyJoS1Sx1r
Tainted Love,Marilyn Manson,The Golden Age Of Grotesque,65,3:20,0ZeKQudydO2uQJpfr6gNC8
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,80,3:37,06KyNuuMOX1ROXRhj787tj
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)",71,3:28,4rkUEE5iTzG0szS8k8QzqR
Candy Shop,50 Cent,The Massacre,82,3:29,5D2mYZuzcgjpchVY1pmTPh
Call Me Maybe,Carly Rae Jepsen,Kiss,84,3:13,20I6sIOMTCkB6w7ryavxtO
Spiders,System Of A Down,System Of A Down,72,3:35,4vAHXnJ5YWLq5hbIVzZS1h
Hypnotize,System Of A Down,Hypnotize,72,3:09,6oO7WMjD6kEvCITLbVj0mu
Aerials,System Of A Down,Toxicity,84,3:55,4e9eGQYsOiBcftrWXwsVco
Forest,System Of A Down,Toxicity,65,4:00,1B5Y9I5wPfvD3C2A81A36C
Du hast,Rammstein,Sehnsucht,70,3:54,5awDvzxWfd53SSrsRZ8pXO
Feuer frei!,Rammstein,Mutter,71,3:08,5aNH8inF5BsbThDeOLs7zs
Mein Herz brennt,Rammstein,Mutter,71,4:39,5ArNGisLzrNOIVwWajRRdt
Wash It All Away,Five Finger Death Punch,Got Your Six,66,3:44,5nRBTzF9dLIlNqnl0xWo9g
My Demons,STARSET,Transmissions (Deluxe Version),74,4:48,3Xfg7AegXaDLoD5GOUMf2e
Outside,Staind,Break the Cycle,61,4:53,5D6rk7Zr7FRy5m2fDte5fp
It's Been Awhile,Staind,Break the Cycle,72,4:24,1BExV8JprNJLvLeDE9qdEW
Killpop,Slipknot,.5: The Gray Chapter (Special Edition),67,3:45,6AAZigYqOch79lKcrSBOv0
